soldto,c_relationship
Customer_1199,Advanced Business Ties
Customer_1199,Transactional
Customer_12,Pure Business
Customer_1200,Transactional
Customer_1201,Opportunistic
Customer_1201,Transactional
Customer_1202,Partnership
Customer_1203,Transactional
Customer_1205,Transactional
Customer_1207,Opportunistic
Customer_1207,Pure Business
Customer_1208,Advanced Business Ties
Customer_1208,Partnership
Customer_1209,Opportunistic
Customer_1210,Pure Business
Customer_1210,Transactional
Customer_1211,Partnership
Customer_1212,Advanced Business Ties
Customer_1212,Pure Business
Customer_1213,Partnership
Customer_1214,Advanced Business Ties
Customer_1214,Opportunistic
Customer_1214,Partnership
Customer_1214,Transactional
Customer_1215,Advanced Business Ties
Customer_1216,Transactional
Customer_1217,Pure Business
Customer_1218,Advanced Business Ties
Customer_1218,Transactional
Customer_1219,Advanced Business Ties
Customer_1219,Transactional
Customer_122,Partnership
Customer_1220,Transactional
Customer_1222,Advanced Business Ties
Customer_1222,Opportunistic
Customer_1222,Pure Business
Customer_1222,Transactional
Customer_1223,Advanced Business Ties
Customer_1223,Partnership
Customer_1223,Pure Business
Customer_1224,Partnership
Customer_1225,Opportunistic
Customer_1225,Partnership
Customer_1227,Advanced Business Ties
Customer_1227,Opportunistic
Customer_1228,Advanced Business Ties
Customer_1228,Transactional
Customer_123,Pure Business
Customer_1230,Advanced Business Ties
Customer_1230,Opportunistic
Customer_1230,Pure Business
Customer_1231,Partnership
Customer_1231,Pure Business
Customer_1234,Opportunistic
Customer_1237,Opportunistic
Customer_1238,Pure Business
Customer_1239,Opportunistic
Customer_124,Partnership
Customer_124,Transactional
Customer_1240,Pure Business
Customer_1241,Pure Business
Customer_1242,Opportunistic
Customer_1242,Transactional
Customer_1244,Opportunistic
Customer_1245,Advanced Business Ties
Customer_125,Pure Business
Customer_1250,Transactional
Customer_1252,Partnership
Customer_1255,Pure Business
Customer_1256,Advanced Business Ties
Customer_1256,Pure Business
Customer_1256,Transactional
Customer_1257,Advanced Business Ties
Customer_1257,Pure Business
Customer_126,Opportunistic
Customer_126,Transactional
Customer_1260,Transactional
Customer_1262,Pure Business
Customer_1263,Advanced Business Ties
Customer_1263,Pure Business
Customer_1264,Opportunistic
Customer_1264,Pure Business
Customer_1265,Advanced Business Ties
Customer_1266,Opportunistic
Customer_1268,Opportunistic
Customer_1269,Advanced Business Ties
Customer_1269,Pure Business
Customer_1269,Transactional
Customer_127,Partnership
Customer_127,Pure Business
Customer_127,Transactional
Customer_1270,Advanced Business Ties
Customer_1271,Advanced Business Ties
Customer_1271,Partnership
Customer_1272,Partnership
Customer_1272,Pure Business
Customer_1272,Transactional
Customer_1274,Advanced Business Ties
Customer_1274,Transactional
Customer_1276,Pure Business
Customer_1277,Transactional
Customer_1278,Opportunistic
Customer_1279,Advanced Business Ties
Customer_128,Advanced Business Ties
Customer_128,Partnership
Customer_128,Pure Business
Customer_1281,Partnership
Customer_1281,Pure Business
Customer_1282,Pure Business
Customer_1283,Opportunistic
Customer_1284,Partnership
Customer_1284,Pure Business
Customer_1287,Partnership
Customer_1287,Pure Business
Customer_1287,Transactional
Customer_1288,Advanced Business Ties
Customer_1288,Opportunistic
Customer_1288,Transactional
Customer_1289,Partnership
Customer_1289,Pure Business
Customer_1291,Pure Business
Customer_1294,Opportunistic
Customer_1294,Transactional
Customer_1295,Opportunistic
Customer_1296,Pure Business
Customer_1298,Advanced Business Ties
Customer_1299,Advanced Business Ties
Customer_1299,Partnership
Customer_1299,Pure Business
Customer_1300,Opportunistic
Customer_1300,Transactional
Customer_1304,Opportunistic
Customer_1304,Partnership
Customer_1304,Pure Business
Customer_1305,Pure Business
Customer_1306,Opportunistic
Customer_1307,Advanced Business Ties
Customer_1308,Advanced Business Ties
Customer_131,Partnership
Customer_131,Pure Business
Customer_1310,Transactional
Customer_1311,Advanced Business Ties
Customer_1311,Opportunistic
Customer_1311,Partnership
Customer_1312,Advanced Business Ties
Customer_1312,Pure Business
Customer_1312,Transactional
Customer_1313,Advanced Business Ties
Customer_1314,Opportunistic
Customer_1315,Advanced Business Ties
Customer_1316,Pure Business
Customer_1317,Transactional
Customer_1318,Partnership
Customer_1320,Opportunistic
Customer_1320,Partnership
Customer_1320,Pure Business
Customer_1320,Transactional
Customer_1322,Pure Business
Customer_1323,Advanced Business Ties
Customer_1324,Opportunistic
Customer_1326,Pure Business
Customer_1327,Partnership
Customer_1327,Pure Business
Customer_1329,Transactional
Customer_133,Opportunistic
Customer_1330,Advanced Business Ties
Customer_1330,Opportunistic
Customer_1330,Transactional
Customer_1332,Opportunistic
Customer_1333,Transactional
Customer_1334,Pure Business
Customer_1335,Transactional
Customer_1336,Advanced Business Ties
Customer_1336,Opportunistic
Customer_1336,Transactional
Customer_1337,Opportunistic
Customer_1338,Advanced Business Ties
Customer_1339,Partnership
Customer_1339,Transactional
Customer_134,Partnership
Customer_134,Pure Business
Customer_1340,Partnership
Customer_1340,Transactional
Customer_1341,Pure Business
Customer_1342,Transactional
Customer_1343,Pure Business
Customer_1343,Transactional
Customer_1344,Opportunistic
Customer_1346,Opportunistic
Customer_1347,Advanced Business Ties
Customer_1347,Pure Business
Customer_1348,Advanced Business Ties
Customer_135,Transactional
Customer_1350,Partnership
Customer_1351,Advanced Business Ties
Customer_1352,Partnership
Customer_1352,Transactional
Customer_1354,Pure Business
Customer_1355,Transactional
Customer_1357,Advanced Business Ties
Customer_1357,Opportunistic
Customer_1357,Pure Business
Customer_1357,Transactional
Customer_1358,Pure Business
Customer_1359,Transactional
Customer_1361,Opportunistic
Customer_1362,Advanced Business Ties
Customer_1365,Advanced Business Ties
Customer_1365,Opportunistic
Customer_1367,Advanced Business Ties
Customer_1369,Transactional
Customer_137,Transactional
Customer_1371,Pure Business
Customer_1372,Advanced Business Ties
Customer_1373,Partnership
Customer_1373,Transactional
Customer_1376,Partnership
Customer_1377,Transactional
Customer_1378,Opportunistic
Customer_138,Partnership
Customer_138,Pure Business
Customer_1380,Opportunistic
Customer_1380,Partnership
Customer_1381,Advanced Business Ties
Customer_1382,Opportunistic
Customer_1384,Opportunistic
Customer_1384,Pure Business
Customer_1385,Opportunistic
Customer_1385,Partnership
Customer_1385,Transactional
Customer_1387,Pure Business
Customer_1387,Transactional
Customer_1388,Opportunistic
Customer_1389,Pure Business
Customer_139,Transactional
Customer_1390,Transactional
Customer_1391,Transactional
Customer_1393,Advanced Business Ties
Customer_1396,Advanced Business Ties
Customer_1398,Advanced Business Ties
Customer_1399,Advanced Business Ties
Customer_1399,Opportunistic
Customer_1399,Transactional
Customer_14,Pure Business
Customer_140,Transactional
Customer_1400,Advanced Business Ties
Customer_1400,Pure Business
Customer_1402,Advanced Business Ties
Customer_1403,Pure Business
Customer_1404,Advanced Business Ties
Customer_1406,Opportunistic
Customer_1406,Transactional
Customer_1408,Partnership
Customer_1409,Transactional
Customer_141,Pure Business
Customer_1410,Partnership
Customer_1410,Transactional
Customer_1412,Advanced Business Ties
Customer_1413,Pure Business
Customer_1415,Advanced Business Ties
Customer_1415,Transactional
Customer_1416,Advanced Business Ties
Customer_1416,Opportunistic
Customer_1417,Pure Business
Customer_1418,Opportunistic
Customer_1421,Partnership
Customer_1422,Opportunistic
Customer_1422,Pure Business
Customer_1424,Advanced Business Ties
Customer_1424,Opportunistic
Customer_1425,Pure Business
Customer_1426,Transactional
